cdacordao,tipo,x,y
1863427,f(ementa),2.357308,-13.323398
1863427,f(descricao),32.135620,-0.993931
1863427,f(mean HyDE),1.192579,-12.390793
1863439,f(ementa),-0.354896,-14.388326
1863439,f(descricao),32.807270,3.496129
1863439,f(mean HyDE),-0.612758,-14.118006
1863459,f(ementa),3.177130,-12.759173
1863459,f(descricao),33.222176,-0.854161
1863459,f(mean HyDE),1.851071,-12.132895
1863462,f(ementa),-11.819634,-48.887398
1863462,f(descricao),45.070709,-16.726484
1863462,f(mean HyDE),-1.132536,-34.768463
1863467,f(ementa),-1.697393,-4.716159
1863467,f(descricao),27.188360,3.668500
1863467,f(mean HyDE),-1.535848,-4.546105
1863472,f(ementa),-11.632944,-38.738800
1863472,f(descricao),41.332680,-13.273019
1863472,f(mean HyDE),0.737895,-29.296417
1863498,f(ementa),-6.666014,-4.773740
1863498,f(descricao),35.186455,8.677869
1863498,f(mean HyDE),-6.684699,-4.763304
1863504,f(ementa),-9.659974,-13.670979
1863504,f(descricao),28.954372,-0.672844
1863504,f(mean HyDE),-0.164671,-10.677575
1863524,f(ementa),-16.875566,-3.269537
1863524,f(descricao),26.385368,-2.269055
1863524,f(mean HyDE),-18.128319,-1.692620
1863548,f(ementa),-15.240047,-8.658549
1863548,f(descricao),23.071436,4.770370
1863548,f(mean HyDE),-15.065476,-8.968399
1863554,f(ementa),-19.081944,-5.125655
1863554,f(descricao),48.311222,-18.329174
1863554,f(mean HyDE),-10.152795,-4.227952
1863555,f(ementa),-10.420855,-1.064885
1863555,f(descricao),28.062136,6.426776
1863555,f(mean HyDE),-10.387378,-1.127818
1863564,f(ementa),-10.044585,-43.963650
1863564,f(descricao),40.403294,-18.202766
1863564,f(mean HyDE),-4.946947,-38.708008
1863579,f(ementa),-23.454762,4.958436
1863579,f(descricao),22.278795,0.870741
1863579,f(mean HyDE),-16.869698,1.819771
1863584,f(ementa),-13.342367,-14.614384
1863584,f(descricao),23.604548,-1.466546
1863584,f(mean HyDE),-13.251014,-14.472821
1863592,f(ementa),-16.655264,-3.912543
1863592,f(descricao),24.365273,4.071856
1863592,f(mean HyDE),-12.992324,-4.661391
1863598,f(ementa),-11.108122,-13.222589
1863598,f(descricao),25.288651,-0.070310
1863598,f(mean HyDE),-10.323084,-9.112799
1863605,f(ementa),-10.992892,-13.364659
1863605,f(descricao),25.118431,0.025705
1863605,f(mean HyDE),-11.566153,-11.602990
1863611,f(ementa),-15.372178,-7.549393
1863611,f(descricao),25.201040,4.145312
1863611,f(mean HyDE),-12.815396,-3.823663
1863619,f(ementa),-10.955770,-47.222111
1863619,f(descricao),45.252148,-20.075665
1863619,f(mean HyDE),-1.350618,-39.469437
1863620,f(ementa),-10.371248,-50.572315
1863620,f(descricao),43.397026,-21.589945
1863620,f(mean HyDE),1.181810,-38.505592
1863626,f(ementa),-11.192904,-47.881298
1863626,f(descricao),44.520157,-19.962826
1863626,f(mean HyDE),-2.981890,-40.042015
1863627,f(ementa),-17.160563,-8.186194
1863627,f(descricao),23.877819,1.643373
1863627,f(mean HyDE),-16.362854,-11.621935
1863634,f(ementa),-10.943620,-39.897060
1863634,f(descricao),41.810883,-14.006872
1863634,f(mean HyDE),0.854416,-30.150631
1863640,f(ementa),-15.883226,-7.572938
1863640,f(descricao),24.966667,3.372743
1863640,f(mean HyDE),-15.566312,-7.718706
1863641,f(ementa),-11.117523,-48.650288
1863641,f(descricao),44.449799,-19.703520
1863641,f(mean HyDE),-2.040009,-39.967850
1863647,f(ementa),-10.950253,-44.364319
1863647,f(descricao),42.702099,-18.653908
1863647,f(mean HyDE),-0.752011,-40.465218
1863648,f(ementa),-10.599791,-49.324768
1863648,f(descricao),44.719475,-19.933056
1863648,f(mean HyDE),-1.259751,-38.515713
1863654,f(ementa),-11.633057,-38.738369
1863654,f(descricao),41.332680,-13.273019
1863654,f(mean HyDE),0.651723,-29.211191
1862307,f(ementa),-9.111012,12.621288
1862307,f(descricao),30.844873,11.711432
1862307,f(mean HyDE),-4.769217,5.294024
1862351,f(ementa),1.178326,-15.727640
1862351,f(descricao),32.688896,2.646530
1862351,f(mean HyDE),-0.225496,-13.118164
1862357,f(ementa),1.178326,-15.727640
1862357,f(descricao),32.688896,2.646530
1862357,f(mean HyDE),-0.236729,-12.953437
1862366,f(ementa),3.873984,-9.077765
1862366,f(descricao),33.307114,-3.077596
1862366,f(mean HyDE),-1.659855,-15.881298
1862383,f(ementa),2.423165,-13.119079
1862383,f(descricao),33.316963,-0.612344
1862383,f(mean HyDE),1.547787,-11.835752
1862417,f(ementa),-11.890500,-47.581738
1862417,f(descricao),45.219818,-16.588915
1862417,f(mean HyDE),2.069912,-39.122917
1862438,f(ementa),-9.204583,-4.224531
1862438,f(descricao),19.486696,5.367069
1862438,f(mean HyDE),-9.120254,-4.199461
1862446,f(ementa),-12.724555,-0.972023
1862446,f(descricao),19.477531,5.349400
1862446,f(mean HyDE),-12.737271,-0.838750
1862447,f(ementa),-10.160045,-6.108211
1862447,f(descricao),36.315697,-1.480329
1862447,f(mean HyDE),-5.366446,-7.412423
1862458,f(ementa),-6.682751,0.156298
1862458,f(descricao),32.091747,4.060967
1862458,f(mean HyDE),-3.203822,2.484901
1862465,f(ementa),-4.640688,-50.506332
1862465,f(descricao),41.969112,-20.850176
1862465,f(mean HyDE),-0.091808,-35.695820
1862467,f(ementa),-10.113977,-47.286980
1862467,f(descricao),45.743389,-19.517029
1862467,f(mean HyDE),-4.811497,-35.152542
1862503,f(ementa),0.112501,-8.078850
1862503,f(descricao),30.514431,-0.766477
1862503,f(mean HyDE),0.731086,-9.784920
1856357,f(ementa),-3.020003,-5.603981
1856357,f(descricao),27.177345,-6.998381
1856357,f(mean HyDE),-2.981077,-5.676877
1856386,f(ementa),-26.719687,2.527825
1856386,f(descricao),22.644045,3.596302
1856386,f(mean HyDE),-8.433748,-7.698471
1856509,f(ementa),-14.450089,25.546841
1856509,f(descricao),32.269917,19.583292
1856509,f(mean HyDE),-12.986334,25.681929
1856531,f(ementa),-6.235810,-0.634815
1856531,f(descricao),28.697285,7.637735
1856531,f(mean HyDE),-4.672131,3.311079
1856537,f(ementa),-3.350447,1.457944
1856537,f(descricao),27.559101,1.274618
1856537,f(mean HyDE),-3.491335,3.179436
1856552,f(ementa),-10.514706,-50.806538
1856552,f(descricao),42.857891,-19.537933
1856552,f(mean HyDE),-1.510394,-41.516998
1856618,f(ementa),-19.659140,13.991007
1856618,f(descricao),28.099501,16.858030
1856618,f(mean HyDE),-7.612006,28.418383
1848860,f(ementa),-22.933100,23.631903
1848860,f(descricao),28.200401,24.880095
1848860,f(mean HyDE),-16.257788,31.243631
1863426,f(ementa),4.563888,-0.286046
1863426,f(descricao),23.174351,0.265404
1863426,f(mean HyDE),-13.898365,-4.776592
1863430,f(ementa),4.442623,-0.339538
1863430,f(descricao),24.527292,-0.780639
1863430,f(mean HyDE),-2.654285,-0.044822
1863444,f(ementa),4.133927,-1.371863
1863444,f(descricao),27.170034,-7.162946
1863444,f(mean HyDE),-4.062985,-6.215648
1863457,f(ementa),4.670950,-0.038433
1863457,f(descricao),20.177309,3.361610
1863457,f(mean HyDE),-11.692316,-5.209751
1863473,f(ementa),4.690872,0.088616
1863473,f(descricao),21.229546,5.273588
1863473,f(mean HyDE),-11.888517,-5.799428
1863476,f(ementa),23.379644,-19.493000
1863476,f(descricao),24.188240,-19.129745
1863476,f(mean HyDE),-8.162125,-5.988069
1863477,f(ementa),4.723956,-0.591288
1863477,f(descricao),25.032347,1.490499
1863477,f(mean HyDE),-12.987743,-8.920415
1863508,f(ementa),16.946756,0.311292
1863508,f(descricao),17.339334,0.393314
1863508,f(mean HyDE),-8.870237,-10.054653
1863581,f(ementa),-21.027573,-3.023023
1863581,f(descricao),23.159271,2.077420
1863581,f(mean HyDE),-15.646523,-10.359959
1863633,f(ementa),-23.546835,-10.696167
1863633,f(descricao),39.782986,5.095467
1863633,f(mean HyDE),-23.704826,-10.945575
1863655,f(ementa),-12.649497,-45.036457
1863655,f(descricao),43.266232,-18.465761
1863655,f(mean HyDE),-4.377214,-39.535172
1863656,f(ementa),-11.026630,-39.539112
1863656,f(descricao),41.735088,-13.896654
1863656,f(mean HyDE),0.401198,-28.933277
1863657,f(ementa),-10.371258,-50.572342
1863657,f(descricao),43.397091,-21.590532
1863657,f(mean HyDE),1.031660,-38.381023
1863658,f(ementa),-10.044214,-43.964603
1863658,f(descricao),40.403988,-18.202978
1863658,f(mean HyDE),-4.920998,-38.684849
1863664,f(ementa),-11.633042,-38.738361
1863664,f(descricao),41.332680,-13.273019
1863664,f(mean HyDE),0.628693,-29.194656
1863667,f(ementa),-10.998671,-42.648026
1863667,f(descricao),41.622635,-13.708451
1863667,f(mean HyDE),0.782855,-29.638031
1863674,f(ementa),-22.125603,-10.276399
1863674,f(descricao),38.598827,4.073492
1863674,f(mean HyDE),-22.280239,-10.643508
1863683,f(ementa),-14.051380,-3.154016
1863683,f(descricao),20.729086,3.806980
1863683,f(mean HyDE),-14.048470,0.171743
1863688,f(ementa),-11.593595,2.781669
1863688,f(descricao),30.017113,-4.269803
1863688,f(mean HyDE),-11.585703,2.799535
1863692,f(ementa),-13.925238,-3.219358
1863692,f(descricao),20.807552,4.025841
1863692,f(mean HyDE),-14.066964,0.168933
1863762,f(ementa),-15.934564,-2.013459
1863762,f(descricao),26.552624,4.490328
1863762,f(mean HyDE),-11.684789,-2.985273
1862914,f(ementa),-21.740988,0.645442
1862914,f(descricao),32.396736,6.650528
1862914,f(mean HyDE),-3.868848,4.163614
1862915,f(ementa),-19.395735,-9.308937
1862915,f(descricao),22.683590,-0.908926
1862915,f(mean HyDE),-19.489677,-9.375455
1862923,f(ementa),-16.475107,5.080104
1862923,f(descricao),23.240089,8.448215
1862923,f(mean HyDE),-16.470057,5.096364
1862979,f(ementa),-25.818785,1.126190
1862979,f(descricao),42.156971,-2.398859
1862979,f(mean HyDE),-11.473433,-9.641752
1863006,f(ementa),-25.329382,0.891266
1863006,f(descricao),42.464348,-2.921763
1863006,f(mean HyDE),-10.132593,-8.907964
1863007,f(ementa),-25.327860,0.895334
1863007,f(descricao),42.464348,-2.921763
1863007,f(mean HyDE),-10.042763,-8.978064
1863013,f(ementa),-25.789959,2.756439
1863013,f(descricao),26.633114,1.409284
1863013,f(mean HyDE),-11.619543,-4.030083
1863016,f(ementa),-25.329580,0.891630
1863016,f(descricao),42.464348,-2.921763
1863016,f(mean HyDE),-9.997299,-8.918354
1863022,f(ementa),-25.979097,1.055636
1863022,f(descricao),42.159546,-2.435855
1863022,f(mean HyDE),-11.232548,-9.674481
1863036,f(ementa),-10.305133,-47.757935
1863036,f(descricao),46.208187,-19.123333
1863036,f(mean HyDE),-2.723607,-34.916924
1863039,f(ementa),-17.392780,-6.551407
1863039,f(descricao),23.054585,4.079412
1863039,f(mean HyDE),-16.335199,-11.562050
1863079,f(ementa),-25.316511,0.744544
1863079,f(descricao),42.464348,-2.921763
1863079,f(mean HyDE),-10.167259,-8.944710
1862294,f(ementa),1.178381,-15.727505
1862294,f(descricao),32.688900,2.646530
1862294,f(mean HyDE),-0.207847,-13.013254
1862295,f(ementa),1.178381,-15.727506
1862295,f(descricao),32.688900,2.646530
1862295,f(mean HyDE),-0.186358,-12.971931
1862476,f(ementa),-9.703768,-43.788433
1862476,f(descricao),45.308449,-21.708099
1862476,f(mean HyDE),8.076828,-36.369068
1862519,f(ementa),-4.793809,-50.553120
1862519,f(descricao),41.969112,-20.850176
1862519,f(mean HyDE),0.116446,-35.762081
1862520,f(ementa),-9.849811,-47.351501
1862520,f(descricao),46.996712,-18.810806
1862520,f(mean HyDE),-1.937513,-40.594742
1862524,f(ementa),-5.255091,-0.746352
1862524,f(descricao),29.904819,6.215689
1862524,f(mean HyDE),-4.160792,2.720212
1862527,f(ementa),-12.031201,-45.549362
1862527,f(descricao),43.322708,-18.355183
1862527,f(mean HyDE),-2.764658,-40.160400
1862528,f(ementa),-10.107822,-43.321354
1862528,f(descricao),46.393711,-18.124432
1862528,f(mean HyDE),-3.152530,-39.807045
1862533,f(ementa),-10.305133,-47.757935
1862533,f(descricao),46.561325,-19.361237
1862533,f(mean HyDE),-2.766519,-35.055470
1862541,f(ementa),-12.390532,-13.211158
1862541,f(descricao),29.858355,5.030611
1862541,f(mean HyDE),-3.751265,2.483716
1862549,f(ementa),-12.022684,-45.352982
1862549,f(descricao),43.990040,-18.351519
1862549,f(mean HyDE),-3.443247,-40.528805
1862551,f(ementa),-34.051453,1.585527
1862551,f(descricao),23.768282,-11.558411
1862551,f(mean HyDE),3.278652,-35.576698
1862552,f(ementa),-9.865506,-47.540752
1862552,f(descricao),47.132423,-18.765186
1862552,f(mean HyDE),-1.842712,-40.549755
1862553,f(ementa),-4.793809,-50.553120
1862553,f(descricao),41.969112,-20.850176
1862553,f(mean HyDE),0.301919,-36.113304
1862561,f(ementa),-12.688342,-45.237328
1862561,f(descricao),44.729973,-18.386784
1862561,f(mean HyDE),-3.135084,-39.193024
1862567,f(ementa),-4.793809,-50.553120
1862567,f(descricao),41.969112,-20.850176
1862567,f(mean HyDE),-0.004994,-35.677002
1862574,f(ementa),-9.865506,-47.540752
1862574,f(descricao),47.225327,-18.759016
1862574,f(mean HyDE),-1.949488,-40.581753
1862575,f(ementa),-9.865506,-47.540752
1862575,f(descricao),47.211548,-18.774294
1862575,f(mean HyDE),-2.030820,-40.529652
1862578,f(ementa),-35.466133,1.712774
1862578,f(descricao),23.051254,-10.501284
1862578,f(mean HyDE),4.802264,-35.537781
1862579,f(ementa),-34.791431,2.513830
1862579,f(descricao),23.475403,-10.789748
1862579,f(mean HyDE),3.441270,-34.832867
1862580,f(ementa),-34.051453,1.585527
1862580,f(descricao),23.822487,-10.577202
1862580,f(mean HyDE),3.284638,-35.874123
1862584,f(ementa),-7.957938,3.792228
1862584,f(descricao),29.673250,4.928761
1862584,f(mean HyDE),-3.741611,2.815780
1862585,f(ementa),-4.793809,-50.553120
1862585,f(descricao),41.969112,-20.850176
1862585,f(mean HyDE),0.117168,-35.884541
1862586,f(ementa),-10.371248,-50.572315
1862586,f(descricao),43.396660,-21.590134
1862586,f(mean HyDE),1.103972,-38.309814
1862587,f(ementa),-11.824839,-44.840462
1862587,f(descricao),43.717968,-17.843697
1862587,f(mean HyDE),-3.916921,-40.010212
1862588,f(ementa),-35.415703,2.106467
1862588,f(descricao),24.533966,-10.479372
1862588,f(mean HyDE),4.195224,-35.286903
1862589,f(ementa),-35.415703,2.106467
1862589,f(descricao),24.461670,-10.858868
1862589,f(mean HyDE),3.697171,-35.841507
1862590,f(ementa),-10.760695,-42.759487
1862590,f(descricao),41.530762,-13.596856
1862590,f(mean HyDE),0.745046,-29.639132
1862591,f(ementa),-2.030858,-16.494539
1862591,f(descricao),33.395725,-3.297621
1862591,f(mean HyDE),-1.830651,-16.205807
1862599,f(ementa),-11.825096,-44.840240
1862599,f(descricao),43.720993,-17.839750
1862599,f(mean HyDE),-3.941299,-40.050030
1862600,f(ementa),-8.774942,-43.832943
1862600,f(descricao),43.093033,-17.113661
1862600,f(mean HyDE),-3.676542,-37.723938
1862601,f(ementa),-15.020305,-10.323263
1862601,f(descricao),22.927620,5.315920
1862601,f(mean HyDE),-15.107519,-10.203191
1862611,f(ementa),-10.305133,-47.757935
1862611,f(descricao),46.208187,-19.123333
1862611,f(mean HyDE),-2.656036,-34.975334
1862612,f(ementa),-10.372443,-50.572266
1862612,f(descricao),43.392632,-21.587919
1862612,f(mean HyDE),1.058603,-38.394459
1862614,f(ementa),-10.811421,-47.010315
1862614,f(descricao),45.285564,-19.059475
1862614,f(mean HyDE),-5.786159,-35.425743
1862620,f(ementa),-4.826505,-50.788002
1862620,f(descricao),42.137890,-21.096001
1862620,f(mean HyDE),0.954835,-37.021000
1862622,f(ementa),-10.458208,-50.028233
1862622,f(descricao),42.764957,-19.793728
1862622,f(mean HyDE),-2.063311,-41.115776
1862630,f(ementa),-10.788342,-47.186947
1862630,f(descricao),45.469208,-19.403427
1862630,f(mean HyDE),-5.738414,-35.655613
1862635,f(ementa),-16.849379,-3.342736
1862635,f(descricao),26.713112,-2.528564
1862635,f(mean HyDE),-3.279967,-12.030201
1862636,f(ementa),-5.037044,-50.687645
1862636,f(descricao),42.163658,-20.589283
1862636,f(mean HyDE),1.256836,-36.524052
1862637,f(ementa),-9.441175,-42.654381
1862637,f(descricao),44.391605,-20.367090
1862637,f(mean HyDE),-4.119921,-39.347820
1862638,f(ementa),-10.105618,-24.166109
1862638,f(descricao),24.174490,-3.369313
1862638,f(mean HyDE),-10.100233,-24.159277
1862649,f(ementa),-9.746299,-43.885059
1862649,f(descricao),45.341949,-21.707090
1862649,f(mean HyDE),8.081088,-36.352661
1862657,f(ementa),-17.936964,-6.406248
1862657,f(descricao),22.924944,3.746309
1862657,f(mean HyDE),-14.354656,-7.185728
1862660,f(ementa),-12.552216,-12.171801
1862660,f(descricao),23.673937,0.277201
1862660,f(mean HyDE),-11.728931,-11.677168
1862665,f(ementa),-10.811421,-47.010315
1862665,f(descricao),45.390614,-18.887623
1862665,f(mean HyDE),-5.831594,-35.485909
1862667,f(ementa),-4.793809,-50.553120
1862667,f(descricao),41.969112,-20.850176
1862667,f(mean HyDE),-0.006821,-35.641747
1862668,f(ementa),-10.760695,-42.759487
1862668,f(descricao),41.622723,-13.708048
1862668,f(mean HyDE),0.810834,-29.652273
1862669,f(ementa),-9.263466,-48.102932
1862669,f(descricao),46.208187,-19.123333
1862669,f(mean HyDE),-2.761080,-34.878036
1862676,f(ementa),-25.620010,4.357908
1862676,f(descricao),21.850620,2.146218
1862676,f(mean HyDE),-12.005610,-9.805033
1862680,f(ementa),-5.037044,-50.687645
1862680,f(descricao),42.163254,-20.588963
1862680,f(mean HyDE),1.186572,-36.498219
1862681,f(ementa),-10.371258,-50.572342
1862681,f(descricao),43.396599,-21.589548
1862681,f(mean HyDE),0.984992,-38.361870
1862683,f(ementa),-23.559498,-11.043674
1862683,f(descricao),39.758354,4.946115
1862683,f(mean HyDE),-23.524155,-11.137401
1862684,f(ementa),-13.589032,-8.630283
1862684,f(descricao),24.831192,2.817374
1862684,f(mean HyDE),-13.346362,-8.865229
1862689,f(ementa),-10.305133,-47.757935
1862689,f(descricao),46.208187,-19.123333
1862689,f(mean HyDE),-2.429941,-35.166584
1862692,f(ementa),-34.051453,1.585527
1862692,f(descricao),23.775415,-10.918719
1862692,f(mean HyDE),4.867467,-35.858696
1862693,f(ementa),-34.051453,1.585527
1862693,f(descricao),23.944172,-11.456433
1862693,f(mean HyDE),3.458711,-35.075394
1862694,f(ementa),-35.366024,1.341492
1862694,f(descricao),24.402042,-11.192207
1862694,f(mean HyDE),4.640284,-35.859146
1862695,f(ementa),-34.066223,2.331523
1862695,f(descricao),23.685003,-9.950241
1862695,f(mean HyDE),4.595988,-35.530830
1862697,f(ementa),-35.450947,1.555279
1862697,f(descricao),24.222771,-10.074100
1862697,f(mean HyDE),4.300158,-36.086399
1862698,f(ementa),-34.765144,1.009328
1862698,f(descricao),24.317654,-10.147287
1862698,f(mean HyDE),3.695344,-35.021553
1862700,f(ementa),-14.717214,-6.909311
1862700,f(descricao),21.836281,2.126129
1862700,f(mean HyDE),-12.968390,-6.025029
1862701,f(ementa),-12.085570,-17.683971
1862701,f(descricao),26.889482,0.956498
1862701,f(mean HyDE),-12.064059,-17.784161
1862703,f(ementa),-12.557096,-31.748379
1862703,f(descricao),46.440300,-20.769764
1862703,f(mean HyDE),-4.969208,-34.385338
1862711,f(ementa),-10.384795,-44.379753
1862711,f(descricao),44.994652,-17.955648
1862711,f(mean HyDE),-0.943598,-39.351013
1862712,f(ementa),-34.046524,2.327054
1862712,f(descricao),23.800066,-10.658935
1862712,f(mean HyDE),4.757074,-34.917816
1862713,f(ementa),-13.104527,-12.194623
1862713,f(descricao),24.380154,-0.289547
1862713,f(mean HyDE),-11.516212,-10.998627
1862717,f(ementa),-12.597962,-31.724695
1862717,f(descricao),46.490322,-20.723385
1862717,f(mean HyDE),-2.986365,-36.857033
1861238,f(ementa),0.437629,-8.043870
1861238,f(descricao),30.529387,-0.766698
1861238,f(mean HyDE),0.863096,-9.276258
1861243,f(ementa),-26.041992,4.800170
1861243,f(descricao),34.498333,9.847745
1861243,f(mean HyDE),-7.171204,-4.376179
1861248,f(ementa),-15.568770,-3.070068
1861248,f(descricao),21.055805,0.539065
1861248,f(mean HyDE),-9.250518,-9.678151
1861281,f(ementa),-8.135904,-0.269595
1861281,f(descricao),29.400431,8.084700
1861281,f(mean HyDE),-3.892084,3.247877
1861288,f(ementa),-5.657868,-12.857289
1861288,f(descricao),29.386782,-1.286222
1861288,f(mean HyDE),0.112723,-10.557076
1861306,f(ementa),-8.225493,0.577194
1861306,f(descricao),31.289436,6.069428
1861306,f(mean HyDE),-2.110798,2.693479
1861325,f(ementa),-6.112280,-7.782649
1861325,f(descricao),36.856392,-1.545527
1861325,f(mean HyDE),-5.745305,-7.687176
1861343,f(ementa),-16.890932,-8.929266
1861343,f(descricao),23.476437,1.867377
1861343,f(mean HyDE),-16.930353,-9.421709
1861349,f(ementa),-3.065833,-6.670932
1861349,f(descricao),29.183241,-8.046282
1861349,f(mean HyDE),-3.087914,-6.769541
1861352,f(ementa),-19.336895,-5.050312
1861352,f(descricao),25.003025,0.501558
1861352,f(mean HyDE),-2.564724,0.042582
1861355,f(ementa),-3.535559,-8.076294
1861355,f(descricao),26.060671,-6.055469
1861355,f(mean HyDE),-3.571387,-8.359822
1861358,f(ementa),-3.830912,-10.272094
1861358,f(descricao),28.542997,-4.616063
1861358,f(mean HyDE),-3.613457,-10.025531
1861398,f(ementa),-6.243345,0.270008
1861398,f(descricao),29.873560,7.886383
1861398,f(mean HyDE),-4.722438,4.290216
1861405,f(ementa),-22.535294,-12.454719
1861405,f(descricao),38.497746,4.254351
1861405,f(mean HyDE),-22.388775,-11.885383
1861421,f(ementa),-11.471771,-7.739681
1861421,f(descricao),29.319580,4.058716
1861421,f(mean HyDE),-11.342237,-7.906863
1861458,f(ementa),-21.710625,-14.382505
